MapVersion,PortId,AddressId,VerticalRange,HorizontalRange
2025112001,PD201,106604400,1050,0
2025112001,PD202,106603700,1050,0
2025112001,U211,107510900,930,0
2025112001,U212,107510600,930,0
2025112001,U221,107510400,930,0
2025112001,U222,107510200,930,0
2025112001,U231,107510100,930,0
2025112001,U232,107509900,930,0
2025112001,U241,107509800,930,0
2025112001,U242,107509300,930,0
2025112001,U251,107509000,930,0
2025112001,U252,107508500,930,0
2025112001,U261,107508200,930,0
2025112001,U262,107507400,930,0
2025112001,U271,107506600,930,0
2025112001,U272,107505700,930,0
2025112001,U281,107505500,930,0
2025112001,U282,107504800,930,0
2025112001,U291,107503900,930,0
2025112001,U292,107502600,930,0
2025112001,UL201,100309100,910,0
2025112001,UL202,100308600,910,0
2025112001,UL203,100308300,910,0
2025112001,UL204,100307800,910,0
2025112001,UL205,100307200,910,0
2025112001,UL206,100306000,910,0
2025112001,UL207,100305800,910,0
2025112001,UL208,100305400,910,0
