MapVersion,SectionId,FromAddressId,ToAddressId,SectionPosition,AllowVehiclePosition,AllowCargoPosition,VehicleSpeedUnload,VehicleSpeedLoaded,VehicleSpeedEnforce
2026010605,10001,100105400,100205400,90,90/270,0/90/180/270,1200,1000,0
2026010605,10002,100105600,100105400,180,0/180,0/90/180/270,1200,1000,0
2026010605,10003,100105600,100105700,0,0/180,0/90/180/270,1200,1000,0
2026010605,10004,100205400,100105400,270,90/270,0/90/180/270,1200,1000,0
2026010605,10005,100205600,100205700,0,0/180,0/90/180/270,1200,1000,0
2026010605,10006,100105400,100105600,0,0/180,0/90/180/270,1200,1000,0
2026010605,10007,100105400,100105200,180,0/180,0/90/180/270,1200,1000,0
2026010605,10008,100104900,100204900,90,90/270,0/90/180/270,1200,1000,0
2026010605,10009,100104900,100104700,180,0/180,0/90/180/270,1200,1000,0
2026010605,10010,100104900,100105200,0,0/180,0/90/180/270,1200,1000,0
2026010605,10011,100204900,100104900,270,90/270,0/90/180/270,1200,1000,0
2026010605,10012,100204900,100204700,180,0/180,0/90/180/270,1200,1000,0
2026010605,10013,100204900,100205200,0,0/180,0/90/180/270,1200,1000,0
2026010605,10014,100104700,100104900,0,0/180,0/90/180/270,1200,1000,0
2026010605,10016,100104700,100104500,180,0/180,0/90/180/270,1200,1000,0
2026010605,10017,100204700,100204900,0,0/180,0/90/180/270,1200,1000,0
2026010605,10019,100204700,100204500,180,0/180,0/90/180/270,1200,1000,0
2026010605,10020,100104500,100104700,0,0/180,0/90/180/270,1200,1000,0
2026010605,10021,100104500,100204500,90,90/270,0/90/180/270,1200,1000,0
2026010605,10024,100103900,100104200,0,0/180,0/90/180/270,1200,1000,0
2026010605,10027,100203900,100204200,0,0/180,0/90/180/270,1200,1000,0
2026010605,10036,100103900,100103600,180,0/180,0/90/180/270,1200,1000,0
2026010605,10039,100203900,100203600,180,0/180,0/90/180/270,1200,1000,0
2026010605,10040,100203600,100203900,0,0/180,0/90/180/270,1200,1000,0
2026010605,10041,100203600,100103600,270,90/270,0/90/180/270,1200,1000,0
2026010605,10042,100203600,100203400,180,0/180,0/90/180/270,1200,1000,0
2026010605,10043,100103600,100103900,0,0/180,0/90/180/270,1200,1000,0
2026010605,10044,100103600,100203600,90,90/270,0/90/180/270,1200,1000,0
2026010605,10045,100103600,100103400,180,0/180,0/90/180/270,1200,1000,0
2026010605,10046,100103100,100203100,90,90/270,0/90/180/270,1200,1000,0
2026010605,10047,100103100,100102800,180,0/180,0/90/180/270,1200,1000,0
2026010605,10048,100103100,100103400,0,0/180,0/90/180/270,1200,1000,0
2026010605,10049,100203100,100103100,270,90/270,0/90/180/270,1200,1000,0
2026010605,10050,100203100,100202800,180,0/180,0/90/180/270,1200,1000,0
2026010605,10051,100203100,100603100,90,90/270,90/270,1200,1000,0
2026010605,10052,100203100,100203400,0,0/180,0/90/180/270,1200,1000,0
2026010605,10053,100202800,100203100,0,0/180,0/90/180/270,1200,1000,0
2026010605,10056,100102800,100103100,0,0/180,0/90/180/270,1200,1000,0
2026010605,10060,100102800,100202800,90,90/270,0/90/180/270,1200,1000,0
2026010605,10063,100202800,100102800,270,90/270,0/90/180/270,1200,1000,0
2026010605,10065,100202800,100402800,90,90/270,0/180,1200,1000,0
2026010605,10068,100202800,100202500,180,0/180,0/90/180/270,1200,1000,0
2026010605,10071,100102800,100102500,180,0/180,0/90/180/270,1200,1000,0
2026010605,10072,100202500,100202800,0,0/180,0/90/180/270,1200,1000,0
2026010605,10073,100202500,100102500,270,90/270,0/90/180/270,1200,1000,0
2026010605,10074,100202500,100202000,180,0/180,0/90/180/270,1200,1000,0
2026010605,10075,100202500,100402500,90,90/270,0/180,1200,1000,0
2026010605,10076,100102500,100102800,0,0/180,0/90/180/270,1200,1000,0
2026010605,10077,100102500,100202500,90,90/270,0/90/180/270,1200,1000,0
2026010605,10078,100102500,100102000,180,0/180,0/90/180/270,1200,1000,0
2026010605,10079,100202000,100202500,0,0/180,0/90/180/270,1200,1000,0
2026010605,10082,100102000,100102500,0,0/180,0/90/180/270,1200,1000,0
2026010605,10086,100202000,100102000,270,90/270,0/90/180/270,1200,1000,0
2026010605,10088,100202000,100402000,90,90/270,0/180,1200,1000,0
