MapVersion,SectionId,FromAddressId,ToAddressId,SectionPosition,AllowVehiclePosition,AllowCargoPosition,VehicleSpeedUnload,VehicleSpeedLoaded,VehicleSpeedEnforce
2025121101,10116,102201800,102201700,180,0/180,0/180,1200,1000,0
2025121101,10118,102201800,102201900,0,0/180,0/180,1200,1000,0
2025121101,10647,102201900,102101900,270,90/270,0/180,1200,1000,0
2025121101,10645,102201900,102201800,180,0/180,0/180,1200,1000,0
2025121101,10646,102201900,102202000,0,0/180,0/180,1200,1000,0
2025121101,10121,102202000,102201900,180,0/180,0/180,1200,1000,0
2025121101,10119,102202000,102202100,0,0/180,0/180,1200,1000,0
2025121101,10124,102202100,102102100,270,90/270,0/180,1200,1000,0
2025121101,10122,102202100,102202000,180,0/180,0/180,1200,1000,0
2025121101,10123,102202100,102202200,0,0/180,0/180,1200,1000,0
2025121101,10125,102202200,102202100,180,0/180,0/180,1200,1000,0
2025121101,10127,102202200,102202300,0,0/180,0/180,1200,1000,0
2025121101,10157,102202300,102102300,270,90/270,0/180,1200,1000,0
2025121101,10155,102202300,102202200,180,0/180,0/180,1200,1000,0
2025121101,10156,102202300,102202400,0,0/180,0/180,1200,1000,0
2025121101,10144,102202400,102202300,180,0/180,0/180,1200,1000,0
2025121101,10145,102202400,102202500,0,0/180,0/180,1200,1000,0
2025121101,10175,102202500,102102500,270,90/270,0/180,1200,1000,0
2025121101,10173,102202500,102202400,180,0/180,0/180,1200,1000,0
2025121101,10174,102202500,102202600,0,0/180,0/180,1200,1000,0
2025121101,10176,102202500,102302500,90,90/270,0/180,1200,1000,0
2025121101,10163,102202600,102102600,270,90/270,0/180,1200,1000,0
2025121101,10165,102202600,102202500,180,0/180,0/180,1200,1000,0
2025121101,10164,102202600,102202700,0,0/180,0/180,1200,1000,0
2025121101,10166,102202600,102302600,90,90/270,0/180,1200,1000,0
2025121101,10168,102202700,102202600,180,0/180,0/180,1200,1000,0
2025121101,10169,102202700,102202800,0,0/180,0/180,1200,1000,0
2025121101,10185,102202800,102102800,270,90/270,0/180,1200,1000,0
2025121101,10184,102202800,102202700,180,0/180,0/180,1200,1000,0
2025121101,10186,102202800,102202900,0,0/180,0/180,1200,1000,0
2025121101,10195,102202900,102202800,180,0/180,0/180,1200,1000,0
2025121101,10194,102202900,102203000,0,0/180,0/180,1200,1000,0
2025121101,10171,102203000,102103000,270,90/270,0/180,1200,1000,0
2025121101,10170,102203000,102202900,180,0/180,0/180,1200,1000,0
2025121101,10172,102203000,102203100,0,0/180,0/180,1200,1000,0
2025121101,10764,102203000,102303000,90,90/270,0/180,1200,1000,0
2025121101,10758,102203100,102203000,180,0/180,0/180,1200,1000,0
2025121101,10760,102203100,102203200,0,0/180,0/180,1200,1000,0
2025121101,10204,102203200,102103200,270,90/270,0/180,1200,1000,0
2025121101,10205,102203200,102203100,180,0/180,0/180,1200,1000,0
2025121101,10203,102203200,102203300,0,0/180,0/180,1200,1000,0
2025121101,10225,102203300,102103300,270,90/270,0/180,1200,1000,0
2025121101,10224,102203300,102203200,180,0/180,0/180,1200,1000,0
2025121101,10226,102203300,102203400,0,0/180,0/180,1200,1000,0
2025121101,10249,102203400,102203300,180,0/180,0/180,1200,1000,0
2025121101,10250,102203400,102203500,0,0/180,0/180,1200,1000,0
2025121101,10237,102203500,102103500,270,90/270,0/180,1200,1000,0
2025121101,10238,102203500,102203400,180,0/180,0/180,1200,1000,0
2025121101,10239,102203500,102203600,0,0/180,0/180,1200,1000,0
2025121101,10261,102203600,102203500,180,0/180,0/180,1200,1000,0
2025121101,10262,102203600,102203700,0,0/180,0/180,1200,1000,0
2025121101,10257,102203700,102103700,270,90/270,0/180,1200,1000,0
2025121101,10255,102203700,102203600,180,0/180,0/180,1200,1000,0
2025121101,10256,102203700,102203800,0,0/180,0/180,1200,1000,0
2025121101,10279,102203800,102203700,180,0/180,0/180,1200,1000,0
